question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,source_file,source_approach,model,retriever,document,retrieved_context_ids,retrieved_context_texts,vote_count,unique_qids,all_qids_voted,source_approaches,voting_algorithm,threshold,multi_valued_support,TP,FP,FN,entity_type,TN,precision,recall,f1
What is the family name of Alfred Hobday?,,"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Alfred Hobday,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Alfred Hobday""
Sentence: ""The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.""
Question: ""What is the family name of Alfred Hobday?""

Answer:",Hobday,Q4722438,person,,,0,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,0,0,QID,1,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Alfred Shaw?,,"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Alfred Shaw,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Alfred Shaw""
Sentence: ""The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.""
Question: ""What is the family name of Alfred Shaw?""

Answer:",Shaw,Q3291051,person,Q7491146,Q7491146,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q7491146;Q7491146;Q7491146;Q7491146;Q7491146;Q7491146;Q7491146,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Alfred Wall?,,"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Alfred Wall,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Alfred Wall""
Sentence: ""The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.""
Question: ""What is the family name of Alfred Wall?""

Answer:",Wall,Q107203434,person,Q13560342,Q13560342,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q13560342;Q13560342;Q13560342;Q13560342;Q13560342;Q13560342;Q13560342,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Allan Ramsay?,,"The want of suitable verses to the Scottish melodies was felt by Allan Ramsay, whose “Tea - table Miscellany,” published in 1724, was the first extensive collection of Scottish songs.",Allan Ramsay,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Allan Ramsay""
Sentence: ""The want of suitable verses to the Scottish melodies was felt by Allan Ramsay, whose “Tea - table Miscellany,” published in 1724, was the first extensive collection of Scottish songs.""
Question: ""What is the family name of Allan Ramsay?""

Answer:",Ramsay,Q654775,person,Q16881845,Q16881845,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q16881845;Q16881845;Q16881845;Q16881845;Q16881845;Q16881845;Q16881845,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Anacreon?,,"These two operas, and also two odes to Anacreon set to the Greek text, are the only fruits of our author's pen in the year 1799.",Anacreon,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Anacreon""
Sentence: ""These two operas, and also two odes to Anacreon set to the Greek text, are the only fruits of our author's pen in the year 1799.""
Question: ""What is the family name of Anacreon?""

Answer:",Anacreon,Q213484,person,,,0,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,0,0,QID,1,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Annio?,,"La Clemenza di Tito was the first, in which‘a French lady, under the riame of Signora Clarini, took the part of Servilia, and a Madame’ Graziani filled the character ef Annio, both of which were massacred in their hands, and the whole opera necessarily partook in the - ruin.",Annio,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Annio""
Sentence: ""La Clemenza di Tito was the first, in which‘a French lady, under the riame of Signora Clarini, took the part of Servilia, and a Madame’ Graziani filled the character ef Annio, both of which were massacred in their hands, and the whole opera necessarily partook in the - ruin.""
Question: ""What is the family name of Annio?""

Answer:",Annio,Q63534077,person,,,0,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,0,0,QID,1,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Antoine Barthelemi Bruni?,,"Antoine Barthelemi Bruni was born at Coni, in Piedmont, in 1752, and was a very distinguished violinist.",Antoine Barthelemi Bruni,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Antoine Barthelemi Bruni""
Sentence: ""Antoine Barthelemi Bruni was born at Coni, in Piedmont, in 1752, and was a very distinguished violinist.""
Question: ""What is the family name of Antoine Barthelemi Bruni?""

Answer:",Bruni,Q599823,person,,,0,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,0,0,QID,1,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Anton Stradler?,,"Anton Stradler, the clarinettist, for whom Mozart wrote his admirable quintet, was not ashamed to take unfair advantage of that generosity.",Anton Stradler,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Anton Stradler""
Sentence: ""Anton Stradler, the clarinettist, for whom Mozart wrote his admirable quintet, was not ashamed to take unfair advantage of that generosity.""
Question: ""What is the family name of Anton Stradler?""

Answer:",Stradler,Q78623,person,Q2326235,,0,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,0,1,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Anzani?,,"Leo was the founder ofa school in Naples, that very widely spread the fame of his country, and became a nursery for those celebrated singers, who afterwards filled Giovanni Ansani, or Anzani, was an lalian singer and composer of some eminence.",Anzani,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Anzani""
Sentence: ""Leo was the founder ofa school in Naples, that very widely spread the fame of his country, and became a nursery for those celebrated singers, who afterwards filled Giovanni Ansani, or Anzani, was an lalian singer and composer of some eminence.""
Question: ""What is the family name of Anzani?""

Answer:",Anzani,Q2813673,person,Q37075943,Q99660041,0,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q99660041;Q99660041;Q99660041;Q99660041;Q99660041;Q99660041;Q99660041,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,1,1,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Arcangelo Corelli?,,"Luigi Rossi, Arcangelo Corelli, t with other great Italian compesers and imitators of Lulli at Paris, returned to their country with clearer and more distinct ideas of harmony.",Arcangelo Corelli,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Arcangelo Corelli""
Sentence: ""Luigi Rossi, Arcangelo Corelli, t with other great Italian compesers and imitators of Lulli at Paris, returned to their country with clearer and more distinct ideas of harmony.""
Question: ""What is the family name of Arcangelo Corelli?""

Answer:",Corelli,Q164475,person,Q16864381,Q16864381,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q16864381;Q16864381;Q16864381;Q16864381;Q16864381;Q16864381;Q16864381,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Archbishop of?,,"Under the direction of His Grace the Archbishop of York, Wednesday, March 24th; 1824.",Archbishop of,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Archbishop of""
Sentence: ""Under the direction of His Grace the Archbishop of York, Wednesday, March 24th; 1824.""
Question: ""What is the family name of Archbishop of?""

Answer:",York,Q3048710,person,,,0,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,0,0,QID,1,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Ariosto?,,"His - next drama was Angelica, of which the plot is taken from Ariosto.",Ariosto,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Ariosto""
Sentence: ""His - next drama was Angelica, of which the plot is taken from Ariosto.""
Question: ""What is the family name of Ariosto?""

Answer:",Ariosto,Q48900,person,Q59531717,Q59531717,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q59531717;Q59531717;Q59531717;Q59531717;Q59531717;Q59531717;Q59531717,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
